,date,id
0,Episode 180531 / 31 May 2018,ep-180531
1,Episode 180524 / 24 May 2018,ep-180524
2,Episode 180517 / 17 May 2018,ep-180517
3,Episode 180510 / 10 May 2018,ep-180510
4,Episode 180503 / 03 May 2018,ep-180503
5,Episode 180426 / 26 Apr 2018,ep-180426
6,Episode 180419 / 19 Apr 2018,ep-180419
7,Episode 180412 / 12 Apr 2018,ep-180412
8,Episode 180405 / 05 Apr 2018,ep-180405
9,Episode 180329 / 29 Mar 2018,ep-180329
10,Episode 180322 / 22 Mar 2018,ep-180322
11,Episode 180315 / 15 Mar 2018,ep-180315
12,Episode 180308 / 08 Mar 2018,ep-180308
13,Episode 180301 / 01 Mar 2018,ep-180301
14,Episode 180222 / 22 Feb 2018,ep-180222
15,Episode 180215 / 15 Feb 2018,ep-180215
16,Episode 180208 / 08 Feb 2018,ep-180208
17,Episode 180201 / 01 Feb 2018,ep-180201
18,Episode 180125 / 25 Jan 2018,ep-180125
19,Episode 180118 / 18 Jan 2018,ep-180118
20,Episode 180111 / 11 Jan 2018,ep-180111
21,Episode 180104 / 04 Jan 2018,ep-180104
22,Episode 171228 / 28 Dec 2017,ep-171228
23,Episode 171221 / 21 Dec 2017,ep-171221
24,Episode 171214 / 14 Dec 2017,ep-171214
25,Episode 171207 / 07 Dec 2017,ep-171207
26,Episode 171130 / 30 Nov 2017,ep-171130
27,Episode 171123 / 23 Nov 2017,ep-171123
28,Episode 171116 / 16 Nov 2017,ep-171116
29,Episode 171102 / 02 Nov 2017,ep-171102
30,Episode 171026 / 26 Oct 2017,ep-171026
31,Episode 171019 / 19 Oct 2017,ep-171019
32,Episode 171012 / 12 Oct 2017,ep-171012
33,Episode 171005 / 05 Oct 2017,ep-171005
34,Episode 170928 / 28 Sep 2017,ep-170928
35,Episode 170921 / 21 Sep 2017,ep-170921
36,Episode 170914 / 14 Sep 2017,ep-170914
37,Episode 170907 / 07 Sep 2017,ep-170907
38,Episode 170831 / 31 Aug 2017,ep-170831
39,Episode 170824 / 24 Aug 2017,ep-170824
40,Episode 170817 / 17 Aug 2017,ep-170817
41,Episode 170810 / 10 Aug 2017,ep-170810
42,Episode 170803 / 03 Aug 2017,ep-170803
43,Episode 170727 / 27 Jul 2017,ep-170727
44,Episode 170720 / 20 Jul 2017,ep-170720
45,Episode 170713 / 13 Jul 2017,ep-170713
46,Episode 170706 / 06 Jul 2017,ep-170706
47,Episode 170629 / 29 Jun 2017,ep-170629
48,Episode 170622 / 22 Jun 2017,ep-170622
49,Episode 170615 / 15 Jun 2017,ep-170615
50,Episode 170608 / 08 Jun 2017,ep-170608
51,Episode 170601 / 01 Jun 2017,ep-170601
52,Episode 170525 / 25 May 2017,ep-170525
53,Episode 170518 / 18 May 2017,ep-170518
54,Episode 170511 / 11 May 2017,ep-170511
